id,time
30,27.7
31,0
31,2.06
31,3.98
31,8.77
31,9.41
31,10.32
31,16.38
31,19.92
31,22.07
32,0
32,1.95
32,3.74
32,7.36
32,9.67
32,9.99
32,12.27
32,18.87
32,27.76
33,0
33,2.26
33,4.41
33,7.22
33,8.6
33,12.25
33,14.24
33,18.77
33,22.2
34,0
34,2.11
34,4.33
34,7.33
34,10.55
34,12.02
34,14.6
34,17.69
34,24.09
35,0
35,1.83
35,4.17
35,7.11
35,10.73
35,11.58
35,15.19
35,19.85
35,20.85
36,0
36,1.86
36,3.23
36,6.8
36,9.48
36,13.44
36,15.06
36,21.15
36,24.34
37,0
37,2.08
37,3.96
37,7.12
37,10.68
37,12.14
37,18.75
37,20.23
37,21.17
38,0
38,1.77
38,3.3
38,6.46
38,9.279999999999999
38,11.29
38,18.79
38,23.55
38,25.81
39,0
39,2
39,4.2
39,6.9
39,10.17
39,10.92
39,14.07
39,23.02
39,24.65
40,0
40,2.07
40,4.92
40,7.26
40,11.52
40,13.76
40,15.36
40,21.58
40,22.49
41,0
41,1.77
41,3.94
41,8.380000000000001
41,10.11
41,11.07
41,16.37
41,21.08
41,21.45
42,0
42,1.65
42,3.52
42,6.41
42,9.710000000000001
42,13.82
42,17.49
42,20.55
42,22.68
43,0
43,2.11
43,3.8
43,7.78
43,10.68
43,11.16
43,14.85
43,20.27
43,22.57
44,0
44,2.05
44,5.33
44,5.51
44,9.19
44,12.84
44,18.92
44,20.81
44,21.75
45,0
45,1.68
45,3.58
45,6.97
45,12.49
45,12.62
45,17.21
45,23.77
45,26.48
46,0
46,2.15
46,3.96
46,8.369999999999999
46,9.76
46,10.3
46,16.81
46,20.72
46,23.96
47,0
47,1.84
47,3.99
47,7.77
47,9.640000000000001
47,11
47,12.21
47,21.01
47,25.05
48,0
48,2.32
48,3.94
48,7.97
48,10
48,11.22
48,14.7
48,19.32
48,24.55
49,0
49,2.04
49,4.08
49,7.52
49,9.73
49,14.13
49,16.72
49,17.75
49,23.35
50,0
50,1.92
50,4.14
50,7.31
50,11.24
50,11.39
50,15.97
50,18.9
50,21.44
51,0
51,2.04
51,4.25
51,7.46
51,8.699999999999999
51,10.72
51,14.27
51,18.67
51,24.41
52,0
52,1.84
52,3
52,7.7
52,10.63
52,11.19
52,14.37
52,19.41
52,24.26
53,0
53,2.3
53,3.67
53,7.21
53,10.97
53,11.43
53,15.65
53,16.75
53,24.7
54,0
54,1.82
54,3.7
54,7.32
54,8.06
54,11.5
54,14.46
54,18.17
54,25.17
55,0
55,1.98
55,4.22
55,6.59
55,8.17
55,13.47
55,15.64
55,19.28
55,24.38
56,0
56,2.09
56,4.39
56,7.03
56,9.51
56,11.64
56,17.37
56,18.37
56,21.82
57,0
57,2.13
57,3.38
57,7.57
57,10.01
57,11.78
57,17.87
57,21.4
57,23.19
58,0
58,1.88
58,4.05
58,7.34
58,10.13
58,10.37
58,15.21
58,23.33
58,24.42
59,0
59,1.87
59,4.45
59,7.25
59,9.140000000000001
59,12.01
59,16.98
59,21.97
59,23.76
60,0
60,2.21
60,3.82
60,8.1
60,10.17
60,11.1
60,16.69
60,17.35
60,20.73
61,0
61,2.01
61,3.99
61,7.94
61,10.3
61,11.22
61,16.19
61,19
61,23.84
62,0
62,1.98
62,4.04
62,6.53
62,10.04
62,11.25
62,15
62,19.6
62,25.21
63,0
63,2.04
63,4.41
63,6.8
63,9.9
63,12.63
63,14.11
63,21.12
63,22.75
64,0
64,1.68
64,3.72
64,6.23
64,8.890000000000001
64,14.12
64,14.17
64,22.1
64,25.34
